Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
2008/7/11,13,17.7,30.6,0,8,10.9,E,41,NE,11,11,1011,0,30,No,No
2008/7/12,7,7.9,21.1,0,2.2,8.1,ENE,30,E,15,48,1023.4,6,19.3,No,No
2008/7/14,37,10.1,23.1,0,1.8,6.1,,,E,7,54,1017.3,1,22.9,No,No
2008/7/14,31,7.9,19.7,0,0.2,6.5,NE,31,N,15,41,1021.9,5,18.7,No,No
2008/7/17,13,17.2,33.4,0,6.6,11.3,E,43,ENE,20,15,1009.4,0,32.7,No,No
2008/7/18,31,10.4,17.9,20.6,2,3.2,NW,76,W,30,50,1002.2,6,13.9,Yes,Yes
2008/7/18,13,17.6,32.3,0,7.6,11,N,41,NNE,24,41,1010.1,3,31.3,No,No
2008/7/20,9,-1.1,11,0.2,1.8,0,WNW,41,NE,6,87,1009,8,8.7,No,Yes
2008/7/22,18,6.2,12.6,2.4,1.6,4.4,SSW,41,SSW,13,62,1029.2,6,12.1,Yes,No
2008/7/22,15,3.3,10.9,5.2,1.6,6.2,WSW,52,SW,20,54,1022.2,2,10.6,Yes,No
2008/7/23,9,-3.5,11.2,0,1.6,7.7,ESE,26,ESE,11,48,1031.1,5,10.1,No,No
2008/7/23,13,21.4,30.9,0,7.6,11,SE,52,SE,26,20,1010.7,0,30.3,No,No
2008/7/25,9,-2.1,12.9,0,1.2,8.1,S,31,SE,13,25,1020.9,1,12.3,No,No
2008/7/25,7,12.5,18.9,22.4,0.6,1.9,SW,28,SW,11,67,1014.1,6,17.9,Yes,No
2008/7/28,15,4.8,10,1.2,1,1.3,S,39,SSW,13,88,1024.1,7,7.7,Yes,No
2008/7/30,0,8.5,16.1,3.4,1.4,7.2,WNW,28,W,9,44,1011.7,,15.7,Yes,No
2008/7/31,37,6,20.3,0,3.4,10.2,,,E,11,42,1011.6,2,18.5,No,No
2008/7/31,31,6.7,14.1,3,4.2,0,SW,37,SSW,9,76,1017,6,13.2,Yes,Yes
2008/7/31,15,1.1,14.1,0,0.6,8.3,NW,35,NNW,19,54,1003.8,5,13.4,No,No
2008/8/1,37,7.9,20.8,0,4.6,1.8,,,WNW,26,46,1003.3,7,16.8,No,No
2008/8/1,18,9.7,14.7,0.4,3.8,5.2,WSW,80,WSW,43,67,1001.5,7,10.9,No,No
2008/8/2,18,8.6,15.3,0.6,3,6,WSW,46,WSW,26,55,1016.1,6,14.6,No,No
2008/8/4,37,8.1,17.2,0,3,5.9,,,E,13,45,1017.1,6,15,No,No
2008/8/4,31,2.1,19.4,0,2,9.8,NE,22,NE,6,39,1030.5,1,19.2,No,No
2008/8/5,37,6.6,16.3,0,3.4,8.5,,,SSE,13,52,1016.1,5,16.3,No,No
2008/8/6,18,7.2,16.6,0,1.8,7.6,NW,35,NNE,17,43,1017,7,15.7,No,No
2008/8/9,7,7.5,21.5,0,5,10.3,SW,19,ENE,13,32,1019.4,0,19.8,No,No
2008/8/10,37,6.7,15.6,0,3,5.9,,,WNW,24,38,1011.8,2,13.5,No,No
2008/8/10,9,-3.5,7.6,0.4,2.4,4.7,NW,50,NW,24,68,1012.6,6,5.1,No,No
2008/8/10,31,9.1,18.7,0,4.4,9.2,NNE,39,ENE,19,41,1024.7,2,18.5,No,No
2008/8/11,15,1.7,12.7,0,0.6,9.1,NNW,50,E,9,53,1012.5,5,10.5,No,No
2008/8/12,7,4.1,19.4,0,4.8,10.4,SW,24,SSW,4,19,1021.1,1,18.8,No,No
2008/8/13,37,8.4,17.4,0,4,10.5,,,ESE,15,34,1021.9,2,16,No,No
2008/8/15,31,3.3,23.1,0,4.4,10.2,NNW,30,SW,9,21,1025.1,2,22.2,No,No
2008/8/19,18,6.2,15.2,0,2.4,6.1,NNW,50,NW,28,46,1023.1,7,14.9,No,No
2008/8/19,13,17.7,31.3,0,10.1,10.6,E,48,N,15,20,1013.2,2,30.5,No,No
2008/8/20,9,0,14,0,2.4,4.7,WNW,39,WNW,24,36,1024.4,7,12.4,No,No
2008/8/21,9,2.4,14.1,0,3,1.8,NW,46,NW,30,27,1017.8,8,13.2,No,No
2008/8/23,13,22,31.7,0,11,8.7,ESE,48,SSE,20,15,1011.3,4,30.1,No,No
2008/8/24,0,2.4,15.1,0,,7.4,NNW,20,WSW,13,51,1029,,13.5,No,No
2008/8/24,15,4,15.5,0,2.4,,NNW,33,E,9,45,1024.7,5,13.4,No,No
2008/8/25,9,-0.9,14.2,0,2.6,7.8,WNW,31,N,19,34,1024.4,6,12.8,No,No
2008/8/25,15,3.6,15.5,0,2.4,8.8,WNW,35,WSW,15,41,1018.4,1,15.3,No,No
2008/8/28,18,9.3,14.9,0,1.6,2.9,SSE,26,SSE,13,63,1027.1,5,14,No,No
2008/8/29,9,-0.2,16.2,0,3.4,5.9,E,28,ENE,20,45,1022.9,6,14.6,No,No
2008/8/30,13,22.7,32.8,0,7.7,9.4,E,41,N,28,47,1009.3,3,30.9,No,No
2008/8/31,31,8.7,18.5,0,3.2,1,WSW,30,W,15,51,1022.7,7,16.9,No,Yes
2008/9/3,37,9.7,17.9,0,3.4,6.2,,,SSE,30,64,1032.4,7,16,No,No
2008/9/4,15,2.2,15.4,0,1.8,10.6,NNW,31,NNW,9,32,1032.9,1,15,No,No
2008/9/6,31,9.7,19.4,0,4.6,10.7,SSE,28,SSE,17,32,1021.5,0,18.7,No,No
2008/9/7,9,-0.9,16.7,0,2.8,8.6,NW,35,NW,22,33,1013.9,7,15.5,No,No
2008/9/7,15,9.3,16.1,0,2.8,2.9,NW,50,SW,11,60,1012.8,7,10.7,No,No
2008/9/8,0,8.3,18,1,7.6,10.8,SE,31,WSW,17,48,1024.8,,16.9,No,No
2008/9/9,9,-3.7,14.7,0,3.4,10.9,SSE,43,N,22,25,1020.9,0,13.4,No,No
2008/9/9,15,3.4,12.1,0.8,2,8.4,SSW,31,E,9,52,1023,5,10.5,No,No
2008/9/9,13,23,36.2,0,7,10.3,E,48,NNW,26,30,1009.7,1,32.4,No,No
2008/9/10,37,7,16.8,0,4,10.7,,,ESE,19,44,1019.1,1,16.6,No,No
2008/9/11,31,13.4,20.5,0.8,2.6,7,WSW,46,WSW,20,62,1012.5,4,18.9,No,No
2008/9/13,18,16.3,25.5,0,6.4,10.7,N,70,N,39,27,1003.7,0,25.3,No,No
2008/9/14,7,17,24.5,0.2,5.2,9.6,ENE,33,NNE,15,60,1015.9,7,22.1,No,No
2008/9/15,18,12.5,16.8,0,8.4,4.9,WNW,102,NW,33,61,998.7,6,11.5,No,Yes
2008/9/15,7,14.9,25.5,1,6.2,9.7,NE,28,NNE,15,61,1014.3,1,24.4,No,No
2008/9/15,0,8.3,14.7,2.8,14.4,5,W,74,WSW,33,43,1009.6,,14.1,Yes,No
2008/9/16,37,12.3,19.8,0,10.6,11.3,,,WSW,19,25,1016.5,1,19.5,No,No
2008/9/16,31,4.7,22.5,0,2.2,10.3,WSW,30,WSW,15,38,1008,1,20.9,No,Yes
2008/9/17,18,4.8,18.4,0,2.8,10.7,N,39,NNE,19,37,1020.9,2,17.4,No,No
2008/9/18,9,1.1,18,0,1.6,8.6,NNW,39,NNW,28,36,1015.6,1,17.8,No,No
2008/9/18,7,14.7,20.8,0,1.8,0,ENE,20,ENE,11,64,1018.3,7,20.1,No,No
2008/9/18,15,5,18.7,0,3.8,9.1,,,NNE,20,42,1007.9,6,17.6,No,No
2008/9/19,31,13.8,20.5,4,2.6,4,WSW,44,W,19,51,1017.4,6,19,Yes,No
2008/9/20,31,9.5,21.7,0.2,3,7.3,NW,31,WNW,11,51,1018.3,6,21,No,Yes
2008/9/21,37,15.8,21.6,0,9,10.9,,,NE,19,61,1014.4,0,20.7,No,No
2008/9/21,0,7.4,22.5,0,,9.3,N,35,NW,19,30,1010.4,,22.1,No,No
2008/9/22,13,24,32.9,0,7.8,9.7,N,33,NNW,20,39,1009.4,1,32,No,No
2008/9/23,37,15.6,17,2.6,10.4,3,,,SSE,24,60,1018,5,16.9,Yes,Yes
2008/9/23,9,7.8,16.2,17.4,6.4,7.9,NW,50,N,22,44,1017.8,1,14.3,Yes,No
2008/9/23,7,16.1,26.9,0,6.4,7.8,NW,31,NE,15,54,1015.2,7,23.7,No,No
2008/9/26,9,2.5,20.9,0,3.6,10.6,NNW,44,WNW,26,35,1020.6,6,20,No,No
2008/9/26,18,14.7,28.2,0,10,9.1,N,63,NW,28,13,1014.7,7,27.9,No,No
2008/9/26,15,14,18.2,0,8.8,1.5,WNW,106,NW,24,62,1007.7,7,11.9,No,Yes
2008/9/28,18,11.6,20.7,0,5.8,7.4,W,61,WSW,26,35,1011.8,6,19.7,No,No
2008/9/29,37,13.5,21.8,0,6.6,7.1,,,SE,24,63,1015.6,7,16.1,No,No
2008/9/29,9,4.9,18.9,0,9.6,9.4,NW,44,NW,22,32,1013.9,7,16,No,No
2008/9/29,18,9,15.2,0.6,6,5.9,SSW,52,S,17,42,1019.6,5,13.9,No,No
2008/9/30,18,8.3,17.5,0,3.4,10.8,SSE,33,WNW,9,35,1019.3,4,16.7,No,No
2008/10/3,31,4.8,19.4,0,2.6,8.6,WSW,31,WSW,17,49,1022.3,5,18,No,No
2008/10/4,9,14.4,20.7,7.6,9.4,4.9,NNW,33,NNW,19,65,1013.2,4,19.3,Yes,Yes
2008/10/5,37,14.6,19.1,3.4,1,0,,,S,11,86,1015.3,8,16,Yes,Yes
2008/10/7,0,,16.4,2.8,14,3.9,,,WSW,19,47,1023.5,,15.1,Yes,No
2008/10/8,13,25.2,34.3,18.8,10.2,9.4,WNW,35,N,20,48,1008.9,2,33.6,Yes,No
2008/10/9,7,16.4,24.7,0,10.6,5.9,ESE,35,ESE,19,57,1022.7,8,22,No,Yes
2008/10/9,0,8.5,21.1,1.2,2.6,12,W,28,SW,15,41,1024.6,,20.5,Yes,No
2008/10/10,31,11.1,25.6,0,7,11.5,E,28,SSW,15,44,1018.4,3,23.4,No,No
2008/10/10,15,10.9,19.9,0,5.2,4.6,NNW,46,NW,24,42,1021.2,6,18.7,No,No
2008/10/10,13,24.8,35.5,0,5,10.4,N,46,N,30,52,1010.4,2,32.9,No,No
2008/10/11,37,14.6,22.3,0,6.6,7.2,,,E,22,65,1024.3,3,20,No,No
2008/10/12,18,14.2,30.6,0,9.6,7.1,N,63,NNW,37,14,1015.1,5,29.5,No,No
2008/10/13,0,13,19,0,19,11.1,SSW,39,SW,19,40,1021.2,,18.5,No,No
2008/10/13,31,6.3,22.1,0,7,10.9,SSW,39,SW,22,42,1023.9,3,20.3,No,No
2008/10/13,15,11.5,16.9,0.6,6,9,NW,87,WNW,24,35,1010.4,6,14.6,No,No
2008/10/14,9,11.9,21.1,13.2,6.6,,NW,41,N,24,61,1016.7,3,19.4,Yes,No
2008/10/14,7,18,25,0,5,10.7,N,30,NNE,13,56,1018.3,2,24.1,No,No
2008/10/17,0,12.8,31,0,5.2,12,N,30,W,13,13,1017.3,,30.5,No,No
2008/10/17,15,9.3,19.3,0,3.8,7.9,S,41,S,30,55,1020.3,5,15.9,No,No
2008/10/18,7,12.3,23.2,0,5.2,11.5,E,35,E,17,44,1023.2,2,21.9,No,No
2008/10/21,31,17.9,32.7,0,7,8.8,WSW,33,WSW,17,39,1011.2,6,26.4,No,No
2008/10/25,9,3.3,25.5,0,5.2,10.8,N,43,NNW,19,16,1014.6,3,24.8,No,No
2008/10/29,31,16.1,21.8,6.2,1.2,6.5,SSW,52,SW,28,56,1013.2,7,21.2,Yes,No
2008/10/30,18,13.2,29.9,0,6,4.6,N,76,N,56,38,1007.5,6,26.8,No,No
2008/10/30,0,18.7,29.8,0,,12.2,SW,46,W,24,28,1009.3,,28.7,No,No
2008/11/1,31,10.8,24.1,0,4.8,12.5,SW,35,N,9,29,1018,1,23.3,No,No
2008/11/2,31,9.1,25.9,0,6.4,12.4,SW,39,SW,17,46,1012,1,24,No,No
2008/11/2,13,24.5,34.5,4.4,,9.7,NW,41,N,22,44,1009.1,2,33.5,Yes,No
2008/11/3,13,25.6,33.9,0,,10.1,NW,30,NW,20,57,1009.3,5,32.3,No,No
2008/11/4,7,20,31.5,2.8,2.2,9.9,E,37,E,22,64,1009.1,2,26.6,Yes,No
2008/11/5,15,4.3,15,0,3.2,11.9,SW,35,SE,17,44,1008.9,7,14.2,No,No
2008/11/8,9,12.6,18.5,8.4,2.8,3.7,WNW,54,WNW,30,42,1005.1,7,16.4,Yes,No
2008/11/9,15,11.8,22.4,0.4,7,11.7,NW,69,NW,31,40,1009,6,21.1,No,No
2008/11/10,15,13.7,23.5,0,7.8,9.5,W,56,NW,31,32,1016.2,6,22.2,No,No
2008/11/11,37,15.9,23.1,0,5.2,9.9,,,E,19,49,1020.9,2,22.3,No,No
2008/11/11,9,11.2,27.2,0,6.6,12.3,N,28,N,13,17,1018.3,6,25.8,No,No
2008/11/11,18,12.9,32,0,6,12.6,N,41,NNW,19,33,1014.8,6,27.9,No,No
2008/11/12,18,16.7,35.4,0,10,10.5,NNE,65,NW,17,13,1012,5,34.7,No,No
2008/11/15,0,11.4,20.2,0,,12.3,SW,43,SW,22,37,1020.1,,20.2,No,No
2008/11/16,37,17.2,22.4,1.2,3.4,4,,,SE,28,64,1016.7,7,19.4,Yes,No
2008/11/16,0,11.8,23,0,,9.2,ESE,39,ESE,15,32,1019.4,,21.3,No,No
2008/11/16,31,12.7,25.5,0,8.4,7.6,SE,43,E,11,32,1014.3,6,24.6,No,No
2008/11/17,9,9.6,24.6,0,8,12.1,ENE,52,SSW,9,22,1014.1,1,22.1,No,No
2008/11/17,18,11.7,19.2,0,4.2,10,SE,37,ESE,19,44,1017.3,2,18,No,No
2008/11/18,15,9.2,19.1,0,3.2,11.1,ESE,43,SE,30,64,1013.8,1,15.8,No,No
2008/11/19,18,14,21,0.4,2.8,0.1,SSE,30,SW,13,68,1006.8,7,19.2,No,Yes
2008/11/20,37,17.3,27.6,29.4,4.6,7.5,,,N,13,59,997.5,5,26.7,Yes,No
2008/11/20,0,13.8,20.5,0.6,3.4,8.8,WSW,35,SW,19,41,1008.4,,19.9,No,No
2008/11/21,7,18.5,32.7,28.8,7.4,12,W,37,W,17,35,999.6,4,32.3,Yes,No
2008/11/22,0,8.1,17.1,5,,10.7,SW,54,SW,28,46,1009.3,,15,Yes,No
2008/11/24,0,14.1,28.3,0,15.4,11.5,ESE,44,SW,13,26,1006.1,,26.7,No,No
2008/11/26,9,9.4,21.5,0,5,6.6,N,31,NE,13,49,1011.6,4,19.4,No,No
2008/11/26,31,12.5,22.2,0.2,4.4,11.3,WSW,39,SW,20,50,1008.9,5,20.9,No,Yes
2008/11/27,18,17.4,30.6,0,11.2,6.4,N,72,N,35,36,1000.9,7,29.1,No,No
2008/11/28,37,19.5,24.6,0.2,7.8,0.7,,,N,17,75,1003.9,7,22.2,No,Yes
2008/11/29,15,8.8,12.8,5.6,1.8,0,S,39,S,15,66,1010.8,8,10.8,Yes,No
2008/11/30,37,15,24.9,11.2,4.8,12.3,,,E,19,55,1007.2,1,21.4,Yes,No
2008/12/2,30,15,31.7,0,,,ENE,28,N,15,38,,,30.1,No,No
2008/12/2,23,3,15,0.4,,,,,WNW,24,51,,,14.2,No,No
2008/12/3,30,15.9,33.4,0,,,NW,52,NW,30,16,,,31.4,No,No
2008/12/4,2,9.2,28,0,,,NE,24,E,9,16,1012.8,,26.5,No,No
2008/12/4,7,21.4,30.7,3.6,7.6,8.1,ESE,39,E,22,67,1013.2,8,25.8,Yes,Yes
2008/12/4,31,17,24.2,0.8,5.8,7.8,NW,35,WNW,17,52,1011,5,22.8,No,No
2008/12/5,24,18.8,30.2,0,,,,,,,,,,,No,No
2008/12/5,47,18,27.7,0,,,ENE,41,NNE,19,75,1009.2,,23.4,No,No
2008/12/5,8,23.2,33.5,0,11.6,11.8,SE,43,ESE,26,56,1011,2,32.2,No,No
2008/12/5,1,13,17.8,0,3.6,4.9,,,SW,19,63,1016.3,5,17,No,No
2008/12/6,24,19.8,34.2,0,,,,,NW,7,39,,7,31.8,No,No
2008/12/6,9,13.2,29.1,0,6.4,9.4,NW,50,WNW,28,19,1005,6,28.2,No,No
2008/12/6,0,13.2,23.1,0,,6,SW,33,SW,13,60,1011.3,,19.7,No,No
2008/12/6,17,10.6,19.3,1,,,N,54,NNW,26,70,1001.1,,16.8,No,No
2008/12/6,3,21.7,25.1,2.6,8.4,0.2,SSE,35,N,11,78,1011.1,7,22.9,Yes,Yes
2008/12/7,1,14,20,0,6,12.8,,,ESE,31,72,1007.9,2,19.5,No,No
2008/12/8,2,7.7,26.7,0,,,W,35,W,17,19,1010.1,,25.5,No,No
2008/12/8,9,12,26.5,0,12.8,12.9,NW,50,NNW,22,19,1008.8,1,25,No,No
2008/12/9,5,5.3,17.6,0,,,S,35,SSE,19,87,1006.4,8,12.4,No,Yes
2008/12/9,31,12.6,22.5,0,7,11.1,SW,33,WSW,19,41,1010.8,4,21.5,No,Yes
2008/12/9,3,24.4,39,0,8,11,S,50,WNW,11,20,1002.6,3,38,No,No
2008/12/10,14,,30.3,,,,NNE,41,NNE,31,70,1007.5,,26.5,,No
2008/12/11,14,23.4,31,0,,,SSE,50,NNE,30,80,1006.7,,25.5,No,Yes
2008/12/11,22,6.2,25.8,0,5,10.8,ESE,35,E,15,25,1010.3,1,24.7,No,No
2008/12/11,1,14.6,19.7,0.2,2.2,12.1,,,ESE,20,67,1015.1,3,18.9,No,No
2008/12/12,2,15.9,21.7,2.2,,,NNE,31,ENE,13,91,1004.2,8,17,Yes,Yes
2008/12/12,30,15.5,21.1,6.8,,,SSW,17,SSW,9,,,,16.7,Yes,Yes
2008/12/12,7,22.1,27.6,9.6,5.4,4.1,SSE,26,SE,9,76,1010.2,7,26,Yes,No
2008/12/12,1,14.6,21,0.2,6.2,8.7,,,SW,30,64,1016.6,1,19.6,No,No
2008/12/13,2,15.9,18.6,15.6,,,W,61,NNW,28,93,993,8,15.8,Yes,Yes
2008/12/13,24,18.2,31.6,29.8,,,,,NW,50,51,,7,28.8,Yes,No
2008/12/13,14,21.5,32,6.2,,,N,41,N,30,77,1000.7,,26.5,Yes,No
2008/12/13,1,16.5,21.3,0.2,5.8,8.9,,,WSW,31,82,1019.1,6,21,No,No
2008/12/13,17,14.9,15.4,13.6,,,SSE,74,SSE,39,80,996,,14.5,Yes,Yes
2008/12/14,24,18.2,27.2,1,,,,,NW,46,39,,3,25.4,No,No
2008/12/14,13,26.2,33.4,8.8,3.8,5.5,,,NNE,22,89,1004.7,8,27,Yes,Yes
2008/12/15,40,10.7,23.2,0,,,WNW,41,NNE,13,39,1005.6,,22.1,No,No
2008/12/16,30,12.9,30.5,0,,,E,24,E,13,32,,,29.2,No,No
2008/12/16,40,7.5,24.6,0,,,NW,39,WNW,19,34,1008.6,,24.5,No,No
2008/12/16,0,15.5,25.9,0,6.4,7.5,SW,26,WSW,9,43,1012,,25.1,No,No
2008/12/16,13,23.7,29.1,44.8,10.4,2,E,44,ENE,30,76,1004.7,6,28.5,Yes,Yes
2008/12/17,47,16.3,23.1,0,,,S,50,SE,9,80,1008.7,7,20.9,No,No
2008/12/17,5,10.3,20.1,1.8,,,ESE,31,WSW,7,64,1008.8,8,18.7,Yes,No
2008/12/17,1,14.5,19,0.2,4,2.5,,,SW,28,64,1018.3,5,18,No,No
2008/12/17,31,14.5,25.4,0,8,13.4,SW,46,SSW,26,47,1015.9,0,23,No,No
2008/12/18,0,16,22.6,0,6,10.7,SW,46,SW,26,49,1011.1,,21.4,No,No
2008/12/19,37,17.3,26.4,0.6,10.2,12.2,,,SE,30,58,1007.8,6,21.2,No,No
2008/12/19,40,8.2,20.8,0.6,,,SSE,46,SE,20,35,1006.3,,19.4,No,No
2008/12/19,23,2,11.8,4,,,,,WSW,19,58,,,10,Yes,No
2008/12/20,47,14.1,19,0,,,SSE,56,SSE,30,73,1020,8,17.1,No,No
2008/12/20,9,7.2,21.2,0,8.4,12.6,E,35,SE,9,34,1017,6,19.3,No,No
2008/12/20,5,5.5,21.4,0,,,SSE,37,SE,20,44,1018,,20.6,No,No
2008/12/20,1,18.9,27.7,0.2,6,11,,,W,19,53,997.6,6,24,No,No
2008/12/21,30,10.7,25.8,0,,,ENE,30,E,13,40,,,24.1,No,No
2008/12/21,9,9.3,24.6,0,5.8,13.1,NNE,39,NNW,11,25,1016.5,1,23.5,No,No
2008/12/21,7,18.4,28,0,8.2,7.5,E,48,SE,15,53,1015.9,4,25.3,No,No
2008/12/21,15,10.1,20.7,0,7.6,12.9,SSW,39,SE,26,64,1015.5,1,19,No,No
2008/12/22,40,11.1,29.3,0,,,W,37,WNW,22,33,1011.2,,27.1,No,Yes
2008/12/22,7,17.9,27.5,0,7.4,12.7,E,33,E,17,41,1015.4,2,26.9,No,No
2008/12/22,8,25.3,33.4,0.2,7.4,10.7,E,35,NNE,17,56,1009.3,2,31.8,No,Yes
